sample_id,scientific_name,genus,species
SAMD00035522,Halorubrum sp005435165,Halorubrum,sp005435165
SAMD00093446,Haladaptatus paucihalophilus,Haladaptatus,paucihalophilus
SAMD00109394,Methanothermobacter sp000828575,Methanothermobacter,sp000828575
SAMD00171894,Methanobrevibacter_C arboriphilus_A,Methanobrevibacter_C,arboriphilus_A
SAMD00171895,Methanosarcina mazei,Methanosarcina,mazei
SAMD00171896,Methanoculleus chikugoensis,Methanoculleus,chikugoensis
SAMD00184547,Methanothermobacter sp000828575,Methanothermobacter,sp000828575
SAMD00184548,Methanothermobacter sp000828575,Methanothermobacter,sp000828575
SAMD00184553,Methanothermobacter sp000828575,Methanothermobacter,sp000828575
SAMD00297278,Stygiolobus caldivivus,Stygiolobus,caldivivus
SAMD00389909,Methanobrevibacter_A smithii,Methanobrevibacter_A,smithii
SAMD00389910,Methanobrevibacter_A smithii,Methanobrevibacter_A,smithii
SAMD00413002,Saccharolobus caldissimus,Saccharolobus,caldissimus
SAMD00413987,Acidianus sp021655615,Acidianus,sp021655615
SAMD00656837,Methanococcus maripaludis,Methanococcus,maripaludis
SAMEA104149373,Thermococcus henrietii,Thermococcus,henrietii
SAMEA104149385,Thermococcus camini,Thermococcus,camini
SAMEA114771135,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA114771136,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA114771137,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA114771138,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA114771143,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA114771144,Haloferax gibbonsii,Haloferax,gibbonsii
SAMEA115527331,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527332,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527333,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527334,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527335,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527336,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527337,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527338,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527339,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527340,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527341,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527342,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527343,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527344,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527345,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527346,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527347,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527348,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527349,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527350,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527351,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527352,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527353,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527354,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527355,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527356,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527357,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527358,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527359,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527360,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527361,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527362,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527363,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527364,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527365,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527366,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527367,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527368,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527369,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527370,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527371,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA115527372,Sulfolobus acidocaldarius,Sulfolobus,acidocaldarius
SAMEA1713487,Saccharolobus islandicus,Saccharolobus,islandicus
SAMEA1713488,Saccharolobus islandicus,Saccharolobus,islandicus
SAMEA1713489,Saccharolobus islandicus,Saccharolobus,islandicus
SAMEA5547881,Methanococcoides vulcani,Methanococcoides,vulcani
SAMEA5841876,Haloarcula hispanica,Haloarcula,hispanica
SAMEA5858272,Haloferax massiliensis,Haloferax,massiliensis
SAMEA8261603,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261604,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261605,Thermococcus_B barophilus,Thermococcus_B,barophilus
SAMEA8261606,Thermococcus_B barophilus,Thermococcus_B,barophilus
